@relation R_data_frame

@attribute new.names {1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1121_badges2,1167_pc1_req,11_balance-scale,12_mfeat-factors,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1461_bank-marketing,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1467_climate-model-simulation-crashes,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1494_qsar-biodeg,1495_qualitative-bankruptcy,1498_sa-heart,1499_seeds,14_mfeat-fourier,1500_seismic-bumps,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1514_micro-mass,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1526_wall-robot-navigation-v3,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology-promoters,164_molecular-biology_promoters,173_solar-flare,187_wine,18_mfeat-morphological,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,292_Australian,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40735_ozone_level_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,450_analcatdata_lawsuit,451_irish,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,566_meta,56_vote,59_ionosphere,61_iris,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2,8_liver-disorders}
@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute Class {Defaults,Tuning}

@data
1048_jEdit_4.2_4.3,-0.231765,1.232556,-2.760577,-0.765847,1.999671,1.240478,-0.133727,2.436296,-1.040424,-0.73913,1.832289,0.055566,-1.001258,-0.442394,0.836246,0.172341,-0.028207,0.103585,0.949774,0.808023,Tuning
1049_pc4,-3.046992,4.683033,-0.371421,-5.015585,0.820379,-2.280225,0.490244,0.801624,1.022885,-0.795155,0.33245,1.911205,0.644821,-0.20382,0.798696,-0.367136,-0.39199,1.391183,-0.371638,-0.540775,Defaults
1050_pc3,-3.872152,5.461586,-0.738043,-7.013082,3.45367,-4.115656,0.677796,2.435217,-0.009233,-0.70569,0.608684,-0.774791,0.789085,0.89956,0.25738,-0.219902,-1.080256,0.844409,0.590174,0.450236,Tuning
1054_mc2,-0.801682,0.058073,-2.525457,-1.957503,1.060178,1.717283,0.167429,0.857308,-0.736995,-0.439784,0.254601,2.239455,-0.306107,-0.22988,0.732523,0.674553,0.611872,1.208333,-0.15183,-0.814214,Defaults
1061_ar4,-3.404112,-3.35676,-1.544445,-1.576477,1.645873,2.495842,1.600336,-1.147652,-0.951024,0.629992,-0.66545,-0.903491,-0.292338,0.457372,0.708576,0.705318,0.985819,0.322987,-0.25422,0.128777,Tuning
1063_kc2,-2.834927,0.434758,-1.657673,-3.380781,1.606952,0.016804,1.254451,0.991223,-0.396546,-0.209382,0.432913,-0.262552,-0.323658,0.789394,0.665805,0.643298,0.138353,0.485585,0.450081,-0.167599,Tuning
1064_ar6,-3.955346,-3.479998,-1.210057,-1.193159,1.071159,2.927736,1.768475,-2.273295,-0.535685,1.106858,-1.127626,-0.344004,-0.000241,0.167237,0.344854,0.858057,0.901275,0.285886,-0.555556,0.493904,Defaults
1065_kc3,-3.796952,0.091555,-0.49638,-2.6926,1.029172,0.677993,1.3107,-1.246495,0.053731,0.237633,-0.733634,-0.684639,-0.087672,0.166504,0.206657,0.986219,0.247206,0.092277,-0.464981,-1.028178,Defaults
1066_kc1-binary,-0.670878,-2.139714,-2.69389,-1.69105,-0.082498,1.828411,-0.805256,0.892576,-1.081926,0.559074,0.396889,0.855668,-0.744175,0.016245,-0.25583,0.760707,-0.081806,1.082397,-0.108079,-0.514801,Defaults
1067_kc1,-3.597572,1.064959,-0.131872,-2.57736,1.936345,-0.233975,0.92354,0.283132,-0.442515,-0.469205,0.010144,-0.913515,-0.464127,0.58079,0.411336,0.784614,-0.297089,0.345061,0.5099,-0.839196,Tuning
1068_pc1,-5.308023,0.319283,-0.438155,-4.730443,3.055874,-1.159688,1.46965,0.837809,-0.493575,-0.025626,0.051625,-1.987298,0.423636,1.046902,-0.0099,0.742978,0.092911,-0.109349,0.190529,-0.091996,Tuning
1071_mw1,-4.513988,-1.985114,-0.116391,-1.754536,1.529925,1.653578,1.382411,-1.172692,0.026449,0.369938,-0.780901,-0.182332,0.50149,-0.323139,0.371354,0.238534,0.232061,-0.056099,-0.553627,-0.932478,Defaults
1073_jEdit_4.0_4.2,-0.565296,-0.371959,-3.113371,-1.463569,1.418256,0.91926,-0.437142,3.150418,-1.069443,-0.47366,1.567281,0.324395,-0.467289,-0.262435,0.178375,0.355435,-0.107013,0.640993,0.459243,0.613875,Defaults
1075_datatrieve,-4.894324,-2.954647,-0.594495,-0.736275,1.453733,2.908562,2.646915,-2.450992,-0.092655,1.010052,-1.493163,-0.35181,0.369145,0.12366,0.582157,0.806707,0.801243,0.29318,-0.66712,-0.110267,Tuning
1100_PopularKids,1.874935,1.869685,-1.404293,2.002535,1.877897,0.662683,-0.614499,-0.586953,-0.520707,-1.502212,0.081039,0.470142,-0.052419,-0.665939,0.164266,-0.347985,-0.264919,-0.51262,0.110417,0.155177,Defaults
