@relation R_data_frame

@attribute new.names {1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1121_badges2,1167_pc1_req,11_balance-scale,12_mfeat-factors,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1461_bank-marketing,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1467_climate-model-simulation-crashes,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1494_qsar-biodeg,1495_qualitative-bankruptcy,1498_sa-heart,1499_seeds,14_mfeat-fourier,1500_seismic-bumps,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1514_micro-mass,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1526_wall-robot-navigation-v3,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology-promoters,164_molecular-biology_promoters,173_solar-flare,187_wine,18_mfeat-morphological,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,292_Australian,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40735_ozone_level_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,450_analcatdata_lawsuit,451_irish,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,566_meta,56_vote,59_ionosphere,61_iris,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2,8_liver-disorders}
@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute Class {Defaults,Tuning}

@data
1048_jEdit_4.2_4.3,-0.231765,1.232556,-2.760577,-0.765847,1.999671,1.240478,-0.133727,2.436296,-1.040424,-0.73913,Defaults
1049_pc4,-3.046992,4.683033,-0.371421,-5.015585,0.820379,-2.280225,0.490244,0.801624,1.022885,-0.795155,Defaults
1050_pc3,-3.872152,5.461586,-0.738043,-7.013082,3.45367,-4.115656,0.677796,2.435217,-0.009233,-0.70569,Defaults
1054_mc2,-0.801682,0.058073,-2.525457,-1.957503,1.060178,1.717283,0.167429,0.857308,-0.736995,-0.439784,Tuning
1061_ar4,-3.404112,-3.35676,-1.544445,-1.576477,1.645873,2.495842,1.600336,-1.147652,-0.951024,0.629992,Defaults
1063_kc2,-2.834927,0.434758,-1.657673,-3.380781,1.606952,0.016804,1.254451,0.991223,-0.396546,-0.209382,Defaults
1064_ar6,-3.955346,-3.479998,-1.210057,-1.193159,1.071159,2.927736,1.768475,-2.273295,-0.535685,1.106858,Defaults
1065_kc3,-3.796952,0.091555,-0.49638,-2.6926,1.029172,0.677993,1.3107,-1.246495,0.053731,0.237633,Defaults
1066_kc1-binary,-0.670878,-2.139714,-2.69389,-1.69105,-0.082498,1.828411,-0.805256,0.892576,-1.081926,0.559074,Defaults
1067_kc1,-3.597572,1.064959,-0.131872,-2.57736,1.936345,-0.233975,0.92354,0.283132,-0.442515,-0.469205,Tuning
1068_pc1,-5.308023,0.319283,-0.438155,-4.730443,3.055874,-1.159688,1.46965,0.837809,-0.493575,-0.025626,Defaults
1071_mw1,-4.513988,-1.985114,-0.116391,-1.754536,1.529925,1.653578,1.382411,-1.172692,0.026449,0.369938,Defaults
1073_jEdit_4.0_4.2,-0.565296,-0.371959,-3.113371,-1.463569,1.418256,0.91926,-0.437142,3.150418,-1.069443,-0.47366,Defaults
1075_datatrieve,-4.894324,-2.954647,-0.594495,-0.736275,1.453733,2.908562,2.646915,-2.450992,-0.092655,1.010052,Defaults
1100_PopularKids,1.874935,1.869685,-1.404293,2.002535,1.877897,0.662683,-0.614499,-0.586953,-0.520707,-1.502212,Defaults
1121_badges2,-3.091509,-4.705362,-0.522572,-0.265067,-2.56762,1.225583,1.257543,0.493772,1.164439,2.082384,Defaults
1167_pc1_req,-0.771202,0.832406,-2.680977,0.158581,2.333522,1.168431,-0.098989,0.382838,-0.941067,-0.824126,Defaults
13_breast-cancer,-0.261774,1.418636,-2.822241,2.456616,0.30015,-1.568874,-0.071703,-1.418139,0.057511,-0.778212,Defaults
1442_MegaWatt1,-3.996255,-1.975613,-0.494592,-1.276799,1.643917,2.017295,1.302308,-1.242371,-0.12999,0.262413,Defaults
1443_PizzaCutter1,-4.428329,-0.167331,-0.22126,-3.383227,1.456995,0.327273,1.156144,-0.041511,0.492858,-0.16087,Defaults
1444_PizzaCutter3,-3.789299,2.713272,-0.935695,-5.826853,3.734005,-2.277354,0.604611,2.576016,-0.11962,-0.607319,Tuning
1446_CostaMadre1,-2.789112,1.865701,-1.135556,-2.762662,1.295619,0.287246,1.345637,-1.480946,-0.088999,0.091102,Defaults
1447_CastMetal1,-3.337504,0.126004,-0.907069,-2.50284,1.835873,0.836591,1.201534,-0.798949,-0.059288,-0.085587,Defaults
1451_PieChart1,-3.768151,2.319635,-0.464429,-4.229254,1.235377,-0.850728,1.091763,-0.099106,0.553751,-0.231621,Defaults
1452_PieChart2,-6.392552,-1.730815,0.084237,-4.975333,3.515476,-0.69988,1.819917,0.567056,-0.233075,0.543528,Defaults
