@relation R_data_frame

@attribute new.names {1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1121_badges2,1167_pc1_req,11_balance-scale,12_mfeat-factors,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1461_bank-marketing,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1467_climate-model-simulation-crashes,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1494_qsar-biodeg,1495_qualitative-bankruptcy,1498_sa-heart,1499_seeds,14_mfeat-fourier,1500_seismic-bumps,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1514_micro-mass,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1526_wall-robot-navigation-v3,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology-promoters,164_molecular-biology_promoters,173_solar-flare,187_wine,18_mfeat-morphological,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,292_Australian,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40735_ozone_level_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,450_analcatdata_lawsuit,451_irish,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,566_meta,56_vote,59_ionosphere,61_iris,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2,8_liver-disorders}
@attribute dcomp.f1 numeric
@attribute dcomp.f1v numeric
@attribute dcomp.f2 numeric
@attribute dcomp.f3 numeric
@attribute dcomp.f4 numeric
@attribute dcomp.l1 numeric
@attribute dcomp.l2 numeric
@attribute dcomp.l3 numeric
@attribute dcomp.n1 numeric
@attribute dcomp.n2 numeric
@attribute dcomp.n3 numeric
@attribute dcomp.n4 numeric
@attribute dcomp.t1 numeric
@attribute dcomp.t2 numeric
@attribute Class {Defaults,Tuning}

@data
1048_jEdit_4.2_4.3,0.156,0.566,0.004,0.049,0.079,0.876,0.447,0.5,0.542,0.777,0.312,0.411,0.995,46.125,Defaults
1049_pc4,0.592,5.899,0,0.123,0.349,0.265,0.122,0.5,0.197,0.446,0.126,0.287,0.998,39.405,Defaults
1050_pc3,0.505,0.417,0,0.065,0.137,0.205,0.102,0.5,0.193,0.489,0.128,0.363,1,42.243,Defaults
1054_mc2,0.295,6.46,0.000001,0.161,0.988,0.609,0.292,0.478,0.509,0.772,0.311,0.273,1,4.128,Defaults
1061_ar4,0.974,7.332,0,0.439,0.981,0.409,0.178,0.5,0.336,0.731,0.234,0.257,0.991,3.69,Defaults
1063_kc2,0.85,6.758,0,0.042,0.151,0.42,0.197,0.492,0.289,0.75,0.192,0.241,1,24.857,Defaults
1064_ar6,0.53,20.095,0,0.218,0.99,0.29,0.149,0.5,0.267,0.589,0.158,0.252,0.921,3.483,Defaults
1065_kc3,0.708,8.929,0.000013,0.286,0.644,0.19,0.094,0.5,0.19,0.413,0.118,0.332,0.998,11.744,Defaults
1066_kc1-binary,0.917,11.311,0,0.359,1,0.644,0.262,0.203,0.421,0.78,0.283,0.224,1,1.686,Defaults
1067_kc1,0.533,3.934,0.001,0.009,0.042,0.31,0.155,0.5,0.366,0.679,0.261,0.414,0.986,100.429,Tuning
1068_pc1,0.248,5.838,0.000004,0.053,0.237,0.14,0.069,0.5,0.138,0.517,0.087,0.387,0.993,52.81,Defaults
1071_mw1,0.658,7.521,0.000003,0.362,0.851,0.156,0.077,0.5,0.181,0.582,0.136,0.357,1,10.892,Defaults
1073_jEdit_4.0_4.2,0.298,14.17,0.051,0.018,0.066,0.795,0.358,0.359,0.504,0.794,0.336,0.305,1,34.25,Defaults
1075_datatrieve,0.733,8.533,0.125,0.208,0.9,0.17,0.085,0.5,0.177,0.209,0.108,0.346,0.923,16.25,Defaults
1100_PopularKids,0.084,0.315,1.917,0.013,0.013,0.638667,0.316333,0.474333,0.773,1.404,0.658,0.526,0.995,39.2,Defaults
1121_badges2,0.061,1.547,0.07,0.973,0.973,0.000231,0,0,0.014,0.16,0,0,0.721,26.727,Defaults
1167_pc1_req,0.163,0.242,0,0.024,0.063,0.777,0.389,0.5,0.675,0.891,0.532,0.313,0.984,15.75,Defaults
13_breast-cancer,0.021,0.849,0.667,0.003,0.007,0.586,0.297,0.5,0.437,0.865,0.357,0.392,1,31.778,Defaults
1442_MegaWatt1,0.578,2.621,0.000002,0.237,1,0.216,0.107,0.5,0.249,0.694,0.186,0.356,1,6.838,Defaults
1443_PizzaCutter1,0.438,3.404,0,0.389,0.852,0.163,0.079,0.5,0.151,0.499,0.092,0.365,1,17.865,Defaults
1444_PizzaCutter3,0.499,1.965,0,0.236,0.46,0.244,0.122,0.5,0.234,0.592,0.147,0.355,0.999,28.189,Tuning
1446_CostaMadre1,0.344,1.59,0,0.267,0.973,0.258,0.128,0.5,0.324,0.693,0.22,0.326,0.986,8,Defaults
1447_CastMetal1,0.232,1.542,0.000002,0.242,0.982,0.258,0.128,0.5,0.321,0.699,0.232,0.381,0.991,8.838,Defaults
1451_PieChart1,0.451,2.873,0,0.372,0.82,0.176,0.087,0.5,0.157,0.513,0.104,0.385,1,19.054,Defaults
1452_PieChart2,0.709,3.343,0,0.642,1,0.044,0.021,0.5,0.062,0.366,0.043,0.358,0.993,20.694,Defaults
1453_PieChart3,0.473,1.884,0,0.228,0.455,0.249,0.124,0.5,0.237,0.592,0.15,0.36,0.999,29.108,Defaults
1463_blogger,0.412,0.425,1,0,0,0.825,0.415,0.5,0.634,1.24,0.463,0.402,1,8.2,Defaults
